"","Country.Name","Property.Rights","Change.in.Property.Rights.from.2015","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2015","Fiscal.Freedom","Change.in.Fiscal.Freedom.from.2015","Gov.t.Spending","Change.in.Gov.t.Spending.from.2015","Business.Freedom","Change.in.Business.Freedom.from.2015","Labor.Freedom","Change.in.Labor.Freedom.from.2015","Monetary.Freedom","Change.in.Monetary.Freedom.from.2015","Trade.Freedom","Change.in.Trade.Freedom.from.2015","Investment.Freedom","Change.in.Investment.Freedom.from.2015","Financial.Freedom","Change.in.Financial.Freedom.from.2015","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","HUMAN.FREEDOM..Rank.","HUMAN.FREEDOM..Quartile.","Procedural.Justice","Civil.Justice","Criminal.Justice","Rule.of.Law","Homicide","Homicide.DATA","Disappearances","Violent.Conflicts","Violent.Conflicts.DATA","Organised.Conflicts","Terrorism.Fatalities","Terrorism.Fatalities.DATA","Terrorism.Injuries","Terrorism.Injuries.DATA","Disapperances","Conflicts","and.Terrorism","Female.Genital.Mutilation","Missing.Women","Inheritance.Rights..Widows","Inheritance.Rights..Daughters","Inheritance.Rights","Women.s.Security...Safety","Security...Safety","Domestic.Movement","Foreign.Movement","Women.s.Movement","Movement","Establishing.Religious.Organizations","Operating.Religious.Organizations","Establishing.and.Operating.Religious.Organizations","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Association","Assembly","Establishing.Political.Parties","Operating.Political.Parties","Establishing.and.Operating.Political.Parties","Establishing.Professional.Organization","Operating.Professional.Organization","Establishing.and.Operating.Professional.Organization","Establishing.Educational","Sporting.and.Cultural.Organizations","Operating.Educational","Sporting.and.Cultural.Organizations.1","Establishing.and.Operating.Educational","Sporting.and.Cultural.Organizations.2","Association.1","Assembly.1","X..Civil.Society","Press.Killed","Press.Killed.DATA","Press.Jailed","Press.Jailed.DATA","Laws.and.Regulations.that.Influence.Media.Content","Political.Pressures.and.Controls.on.Media.Content","Access.to.Cable.Satellite","Access.to.Foreign.Newspapers","State.Control.over.Internet.Access","Expression...Information","Legal.Gender","Parental.Authority..In.Marriage","Parental.Authority..After.Divorce","Parental.Rights","Male.to.Male.Relationships","Female.to.Female.Relationships","Same.Sex.Relationships","Divorce","Identity...Relationships","PERSONAL.FREEDOM..Score.","PERSONAL.FREEDOM..Rank.","Government.Consumption","Government.Consumption.DATA","Transfers.and.subsidies","Transfers.and.subsidies.DATA","Government.enterprises.and.investment","Government.enterprises.and.investment.DATA","Top.marginal.income.tax.rate","Top.marginal.income.tax.rate.DATA","Top.marginal.income.and.payroll.tax.rate","Top.marginal.income.and.payroll.tax.rate.DATA","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Integrity.of.the.legal.system","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Money.growth.DATA","Standard.deviation.of.inflation","Standard.deviation.of.inflation.DATA","Inflation..Most.recent.year","Inflation..Most.recent.year.DATA","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Revenue.from.trade.taxes....of.trade.sector..DATA","Mean.tariff.rate","Mean.tariff.rate.DATA","Standard.deviation.of.tariff.rates","Standard.deviation.of.tariff.rates.DATA","Tariffs","Non.tariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership.investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","ECONOMIC.FREEDOM..Score.","ECONOMIC.FREEDOM..Rank."
"130","Tajikistan","20","0","23","1","91.6","-0.5","76.9","-5","61.1","-4.3","47.3","0.9","69.8","0.2","68.6","-6","25","0","30","0","5.7","13","15","21","27.7","8.3","22.3 ","6.7","7.1","2688","10.9","6.1","262.7","28.2","19","124","4",NA,NA,NA,"3","3","9","4","1","6","5","0","10","0","0","0","2","5","10","0","0","1","10","0","0","0","7","5","10","0","10","0","5","0","5","0","5","0","8","3","8","4","5","0","10","0","10","0","8","3",NA,NA,"0","0","8","4","4","7","4","4","2","5","2","5",NA,NA,"0","0",NA,NA,"2","5",NA,NA,"2","5","2","0","10","0","0","0","10","0","0","0","0","7","1","8","2","5","2","5","2","5","4","3",NA,"10","0","10","0","10","0","10","0","10","0","10","0","5","0","8","3","5","65","132","8","5","11","0","9","1","3","9","0","0","61","0","10","0","13","0","7","0","31","0","8","5"
"131","Tanzania","25","-5","31","-2","79.2","-0.7","88.4","9.1","47.5","2.5","62.6","1.2","67.7","-2","73.2","6.2","60","0","50","0","8.4","30","30","16.8","19.7","47.7","127.1 ","7.2","6.8","2667","3.1","6.1","2141.60","33.2","52","102","3","3","7","5","0","3","9","4","2","7","2","7","0","10","0","10","0","0","0","7","5","10","0","0","1","10","0","0","0","9","5","8","5","7","5","0","0","0","0","0","0","5","3","7","3","10","0","10","0","5","0","8","3",NA,NA,"5","0","8","3","6","0","6","4","7","5","5","0",NA,NA,"2","5",NA,NA,"5","0",NA,NA,"5","0","5","0","10","0","0","0","10","0","0","0","3","0","4","5","10","0","10","0","5","0","7","5","0","0","5","0","5","0","5","0","0","0","10","0","5","0","10","0","5","0","6","13","116","6","4","18","4","9","9","0","9","7","0","22","6","8","0","30","0","4","0"
"132","Thailand","40","0","38","3","81.1","-0.4","82.2","0.8","76.3","3.8","62.5","-1","70.9","1","77.6","2.2","50","5","60","0","6.2","35","20","16.2","24.3","68.7","985.5 ","0.7","3.6","14354","0.9","1.9","12565.70","47.2","62","98","3","3","5","5","3","4","0","4","3","8","7","3","2","10","0","9","8","0","7","5","0","10","0","0","0","10","0","0","0","9","0","10","0","10","0","5","0","5","0","5","0","8","3","8","7","10","0","5","0","10","0","8","3",NA,NA,"10","0","7","4","4","4","7","3","2","5","0","0",NA,NA,"2","5",NA,NA,"7","5",NA,NA,"10","0","4","5","10","0","0","0","9","9","1","0","1","0","1","8","10","0","10","0","7","5","7","2","0","0","10","0","5","0","7","5","10","0","10","0","10","0","0","0","4","4","6","40","106","4","3","25","2","9","2","3","3","6","0","26","8","7","0","35","0","7","0"
"133","Timor-Leste","20","0","28","-2","64.7","0","0","0","68","8.2","66","-6","70.9","2.2","80","0.4","40","0","20","0","2.5","10","10","318.1","110.5","1.2","6.1 ","6.6","8.8","4928","4.7","2.5","33.9","0","37","114","3",NA,NA,NA,"3","3","8","4","3","9","10","0","10","0","0","0","7","5","0","0","94","6","0","0","303","5","5","5","10","0","7","5","5","0","5","0","5","0","7","5","7","1","5","0","10","0","0","0","5","0",NA,NA,NA,"9","2","8","0","8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","6","3","7","3",NA,NA,NA,"8","4",NA,"5","0","5","0","5","0","10","0","10","0","10","0","5","0","6","7","6","19","113","0","0","47","7","7","5","9","8","7","0","20","7","10","0","10","0","10","0","10","0","10","0","6","1","3","9","3","2","3","0","5","7"
"134","Togo","30","0","29","0","68.7","-1","80.4","2.3","51.4","-0.5","46.2","2.8","79.5","-0.9","71.2","3.4","50","0","30","0","9.4","45","27","19.5","25.5","7","10.1 ","5.2","5.1","1450","6.9","0.1","292.1","54.7","27","119","3",NA,NA,NA,"4","1","6","4","9","0","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","9","6","10","0","5","0","5","0","5","0","8","2","8","0","0","0","10","0","10","0","6","7",NA,NA,"10","0","9","6","7","0","8","9","7","5","5","0",NA,NA,"10","0",NA,NA,"7","5",NA,NA,"10","0","8","0","10","0","0","0","10","0","0","0","4","0","5","3","10","0","10","0","10","0","8","5",NA,"5","0","5","0","5","0","0","0","10","0","5","0","5","0","5","0","6","73","92","7","4","14","7","8","4","6","2","4","0","36","6","7","0","35","0",NA,NA,"7","0","6","7"
"135","Trinidad and Tobago","50","0","38","0","79.4","0.4","62.3","-7","69.5","4.2","72.8","-3.8","68.5","-5.8","78.6","0","60","0","50","0","5.7","25","25","28.4","35.5","1.4","43.4 ","1.1","0.8","32139","4","7","2423.00","37.6","83","81","2","4","4","5","9","3","9","4","7","0","0","30","9","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","5","0","5","0","5","0","8","3","5","9","10","0","10","0","10","0","10","0",NA,NA,NA,"8","8","8","5","8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","7","7","7","3",NA,NA,NA,"8","7",NA,"10","0","10","0","10","0","0","0","0","0","0","0","10","0","6","7","6","92","82","7","0","16","3","8","4","6","3","0","0","59","9","9","0","25","0","5","0","40","0","7","0","5","6","5","8","3","2","5"
"136","Tunisia","40","0","40","-1","74","-0.3","73.4","2.6","81.3","0.1","64","-5.1","75.6","0.8","62.2","1","35","0","30","0","13.9","35","30","21.7","29.8","11","124.3 ","2.3","1.8","11300","13.3","4.9","1060.30","47.5","43","109","3","5","1","4","9","4","3","4","8","8","8","3","0","10","0","7","9","6","3","5","0","7","9","6","2","9","5","2","3","8","1","10","0","7","5","0","0","0","0","0","0","5","8","7","6","10","0","10","0","5","0","8","3",NA,NA,"7","5","8","0","3","8","6","5","7","5","7","5",NA,NA,"7","5",NA,NA,"7","5",NA,NA,"10","0","8","0","10","0","0","0","9","1","1","0","4","0","5","5","10","0","7","5","10","0","8","0",NA,"5","0","0","0","2","5","0","0","0","0","0","0","10","0","4","2","6","58","98","5","3","21","9","6","4","13","7","7","0","23","1","7","0","35","0","2","0","52"
"137","Turkey","40","-5","45","-5","75.2","-0.9","55.6","-2","65.4","4.4","48.6","-1.6","71.5","-0.9","84.4","-0.2","75","0","60","0","2.8","35","20","29.3","38.5","76.9","1508.1 ","2.9","5.4","19610","9.2","8.9","12146.00","33.5","47","107","3","3","6","4","4","4","0","4","0","8","3","4","3","10","0","0","0","33","7","2","5","5","8","12","6","3","0","34","9","4","3","10","0","10","0","10","0","10","0","10","0","10","0","7","5","10","0","10","0","10","0","10","0",NA,NA,"2","5","7","0","3","9","4","5","7","5","5","0",NA,NA,"5","0",NA,NA,"2","5",NA,NA,"2","5","4","5","7","5","2","0","0","0","81","0","1","0","1","8","5","0","7","5","5","0","4","0","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","6","9","118","5","9","19","9","6","4","13","8","7","0","21","7","7","0","35","0","7","0"
"138","Uganda","25","0","26","0","73.2","-0.1","91.5","2.5","40.3","-3","83.7","-3.8","80.1","3.8","72.8","-3.8","60","0","40","0","8.6","40","30","13.4","16.8","38","76.9 ","4.9","5.2","2023","3.8","4.7","1146.60","30.4","77","85","3","2","2","4","5","3","4","3","4","5","4","11","5","5","0","8","9","3","2","7","5","9","4","1","8","9","9","0","5","8","1","9","9","7","5","5","0","5","0","5","0","7","5","7","0","10","0","10","0","5","0","8","3",NA,NA,"10","0","7","6","7","6","8","4","7","5","5","0",NA,NA,"2","5",NA,NA,"10","0",NA,NA,"10","0","7","0","10","0","0","0","10","0","0","0","4","0","3","8","10","0","10","0","7","5","7","9","0","0","5","0","5","0","5","0","0","0","0","0","0","0","10","0","3","8","6","13","115","9","2","8","9","10","0","0","4","10","0","13","3","5","0","40","0","3","0"
"139","Ukraine","25","5","26","1","78.6","-0.1","30.6","2.6","56.8","-2.5","47.9","-0.3","66.9","-11.7","85.8","0","20","5","30","0","2.1","20","18","37.6","48.1","42.8","370.8 ","-6.8","-0.2","8668","7.7","12.1","410","71.2","28","118","3","4","8","5","1","3","7","4","5","7","5","6","3","0","0","8","1","5","7","0","0","9","6","1","1","9","8","0","9","5","5","10","0","7","5","10","0","10","0","10","0","9","2","7","4","5","0","10","0","10","0","8","3",NA,NA,"2","5","7","5","7","6","5","9","7","5","7","5",NA,NA,"5","0",NA,NA,"2","5",NA,NA,"5","0","5","5","7","8","1","0","10","0","0","0","5","7","3","8","7","5","7","5","7","5","7","1","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","6","59","97","5","0","23","1","4","9","19","3","10","0","9","2","10","0","20","0","7","0"
"140","United Arab Emirates","55","0","70","1","95","-4.5","76.1","-9.7","79.6","4.9","80.7","-3.1","81.3","-2.5","82.8","0.4","45","5","60","10","3.6","0","0","22.4","28.2","9.3","599.8 ","3.6","4","64479","3.6","2.3","10065.80","12.1","29","117","3","5","3","6","8","6","9","6","4","9","6","0","9","5","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","8","5","10","0","7","5","0","0","0","0","0","0","5","8","8","0","10","0","0","0","0","0","3","3",NA,NA,"2","5","8","1","3","5","4","7","0","0","0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"2","5","0","5","10","0","0","0","10","0","0","0","1","7","2","5","7","5","7","5","5","0","6","3",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","149","6","1","19","4","8","8","4","8","2","0","48","4","10","0","0","0","10","0","16"
"141","United Kingdom","90","0","78","2","64.9","2","39","8.7","86","-5.1","71.8","-3.8","76.4","2","88","0","90","0","80","0","1","45","20","32.9","45.1","64.5","2548.9 ","2.6","1.7","39511","6.3","1.5","72241.00","89.5","50","8","1","8","2","7","5","7","4","7","7","9","5","1","2","10","0","10","0","0","0","10","0","10","0","0","1","9","9","0","3","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","8","10","0","10","0","10","0","10","0",NA,NA,"10","0","7","6","5","2","7","6","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","7","0","7","8","10","0","10","0","10","0","9","3","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","9","0","18","5","2","22","3","5","4","17","2","8","0","15","7","6","0","45","0","2","0"
"142","United States","80","0","74","1","65.6","-0.6","54.7","2.9","84.7","-4.1","91.4","-7.1","77","0.4","87","0","70","0","70","0","1.5","39.6","35","25.4","38.9","319","17418.9 ","2.4","2.2","54597","6.2","1.6","92397.00","104.8","39","17","1","7","6","6","7","6","5","6","9","7","9","5","4","10","0","9","9","0","4","7","5","9","9","0","2","9","9","0","4","9","4","10","0","10","0","10","0","10","0","10","0","10","0","9","1","10","0","10","0","10","0","10","0",NA,NA,"10","0","7","9","8","7","8","9","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","9","7","1","0","10","0","0","0","8","0","7","0","10","0","10","0","10","0","9","2","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","75","28","6","7","17","2","6","0","15","2","8","0","15","8","5","0","43-50","5","0","43-50"
"143","Uruguay","70","0","73","0","77.2","0.1","67.6","2.5","75.3","2.7","62.5","-1.8","71.3","-0.3","80.6","-1.2","80","0","30","0","4.7","30","25","27.4","32.9","3.4","70.0 ","3.3","5.4","20556","7","8.9","2754.50","62.8","73","43","2","7","1","7","4","5","4","6","6","6","9","7","7","10","0","10","0","0","0","10","0","9","9","0","3","9","9","0","3","10","0","10","0","10","0","5","0","5","0","5","0","8","3","8","4","10","0","10","0","10","0","10","0",NA,NA,"7","5","9","0","8","9","8","5","7","5","10","0",NA,NA,"5","0",NA,NA,"7","5",NA,NA,"7","5","7","5","10","0","0","0","10","0","0","0","8","0","7","5","10","0","10","0","10","0","9","4","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","8","30","37","6","5","18","0","5","9","15","5","7","0","23","8","9","0","30","0","7","0"
"144","Venezuela","5","0","19","-1","74.9","-0.1","56.7","4.7","45.3","3.7","29.5","5.3","33.8","-9","63.2","0.4","0","0","10","-10","8.4","34","34","13.9","38","30.5","538.9 ","-4","1.1","17695","8.6","62.2","320","45.6","20","161","4","1","5","3","3","1","4","2","1","0","0","56","3","10","0","10","0","0","0","5","0","9","9","0","3","9","5","2","4","8","9","10","0","10","0","10","0","10","0","10","0","10","0","6","3","10","0","5","0","10","0","8","3",NA,NA,"5","0","9","0","6","6","6","9","10","0","10","0",NA,NA,"2","5",NA,NA,"5","0",NA,NA,"5","0","6","5","10","0","0","0","9","7","1","0","1","3","2","3","5","0","2","5","5","0","5","1","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","7","5","5","52","135","7","0","16","3","5","8","16","0","0","0","70","4","7","0","34","0","5","0"
"145","Vietnam","15","0","31","0","79.3","0.2","75.1","-2","58.3","-3.2","62.6","-0.3","70.6","3.8","83","4.4","25","10","40","10","3.5","35","22","18.9","28.8","90.6","510.7 ","6","5.9","5635","2.3","4.1","9200.00","58.7","19","124","4","5","4","4","4","4","9","4","9","9","4","1","5","5","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","9","0","10","0","7","5","5","0","5","0","5","0","7","5","8","6","0","0","5","0","5","0","3","3",NA,NA,"2","5","8","6","6","6","5","9","2","5","2","5",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"2","5","1","5","10","0","0","0","9","2","8","0","0","0","1","8","7","5","7","5","5","0","5","8","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","5","97","125","9","2","8","7",NA,NA,NA,NA,"7","0","35","0","5","0","36","0","6","0"
"146","Yemen","30","0","19","1","","","","","51.9","-2.1","54.4","-2.7","71","2.5","","N/",NA,NA,"30","0","","20","20","","30.8","27.5","103.6 ","-0.2","0.4","3774","17.4","8.2","-577.6","48.9","4","25","160","4",NA,NA,NA,"2","6","7","3","6","7","0","0","0","0","92","7","0","0","0","0","55","0","0","3","48","6","0","1","6","2","7","5","0","0","0","0","0","0","4","6","4","0",NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","6","0","10","0","0","0","1","3","1","0",NA,NA,NA,"3","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","17","162","8","5","11","1","9","0","4","1","4","0","34","4","10","0","15","0","8","0","27","0","9","0","7","6","2","5","2","8","3","3","4","2","3","3","3","8"
"147","Zambia","30","0","38","0","73.3","1.4","81.1","3.1","66.4","-1.8","48.3","2.3","72.6","-0.6","78.2","1.4","50","-5","50","0","3.4","35","35","14.7","25.1","15","61.0 ","5.4","7.1","4064","13.3","7.9","2483.80","31.1","31","116","3","3","3","4","9","4","2","4","1","7","9","5","3","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","9","9","7","5","5","0","5","0","5","0","7","5","8","3","0","0","10","0","5","0","5","0",NA,NA,NA,"8","3","6","3","7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","9","4","1","0","3","7","4","0",NA,NA,NA,"6","8","10","0","0","0","5","0","2","5","0","0","0","0","0","0",NA,"4","2","6","1","123","4","8","23","8","10","0","0","2","4","0","31","4","7","0","35","0","4","0","43","0","5","5","6","1","4","0","3","8","5"
"148","Zimbabwe","10","0","21","0","60.8","-5.8","73.6","-0.6","37.6","0.5","30","6.3","79.1","3.7","50.2","-8.2","10","10","10","0","14.9","51.5","25","25.3","29.7","13.3","27.1 ","3.2","8.3","2046","5.4","-0.2","544.8","54","62","143","4","2","4","4","3","3","8","3","5","7","3","6","7","5","0","10","0","0","0","5","0","10","0","0","0","10","0","0","0","8","0","10","0","7","5","5","0","5","0","5","0","7","5","7","6","0","0","5","0","10","0","5","0",NA,NA,"2","5","9","3","7","5","6","4","2","5","2","5",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"2","5","2","5","10","0","0","0","10","0","0","0","2","0","3","8",NA,NA,"7","5","6","7","0","0","0","0","10","0","5","0","0","0","10","0","5","0",NA,"3","3","5","17","148","4","6","24","4","10","0","0","2","6","0","25","6","4","0","52","0","4","0","52","0","4"
